QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,D'Onta Foreman (9758531),D'Onta Foreman,9758531,RB,4000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,QB,Brandon Allen (9758558),Brandon Allen,9758558,QB,4000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Cole Beasley (9758633),Cole Beasley,9758633,WR,4000,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Brice Butler (9758637),Brice Butler,9758637,WR,4000,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Davis Webb (9758656),Davis Webb,9758656,QB,4000,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Mike Tolbert (9758013),Mike Tolbert,9758013,RB,3900,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Martavis Bryant (9758256),Martavis Bryant,9758256,WR,3900,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Austin Ekeler (9758278),Austin Ekeler,9758278,RB,3900,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,TE,Hunter Henry (9758294),Hunter Henry,9758294,TE,3900,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Allen Hurns (9758315),Allen Hurns,9758315,WR,3900,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,DST,Jaguars  (9758335),Jaguars ,9758335,DST,3900,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,Malcolm Brown (9758561),Malcolm Brown,9758561,RB,3900,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Tarik Cohen (9758079),Tarik Cohen,9758079,RB,3800,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,TJ Jones (9758197),TJ Jones,9758197,WR,3800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,DST,Lions  (9758209),Lions ,9758209,DST,3800,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,RB,Marlon Mack (9758212),Marlon Mack,9758212,RB,3800,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Brandon LaFell (9758411),Brandon LaFell,9758411,WR,3800,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Ryan Grant (9758513),Ryan Grant,9758513,WR,3800,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,Marquise Goodwin (9758696),Marquise Goodwin,9758696,WR,3800,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Jordan Matthews (9758021),Jordan Matthews,9758021,WR,3700,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Frank Gore (9758214),Frank Gore,9758214,RB,3700,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,DST,Steelers  (9758270),Steelers ,9758270,DST,3700,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Elijah McGuire (9758343),Elijah McGuire,9758343,RB,3700,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Eric Decker (9758449),Eric Decker,9758449,WR,3700,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,Alfred Blue (9758533),Alfred Blue,9758533,RB,3700,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,WR,Deonte Thompson (9758023),Deonte Thompson,9758023,WR,3600,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Zach Zenner (9758185),Zach Zenner,9758185,RB,3600,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,RB,Dwayne Washington (9758187),Dwayne Washington,9758187,RB,3600,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,TE,Tyler Kroft (9758423),Tyler Kroft,9758423,TE,3600,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,DST,Rams  (9758587),Rams ,9758587,DST,3600,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Aldrick Robinson (9758694),Aldrick Robinson,9758694,WR,3600,NYG@SF 11/12/2017 04:25PM ET,SF,
